patch_addr,mem_old,patch
0x10c4413d,FF15B40ED276,FF154894C410
0x10c44221,FF25CC17D276,FF259C94C410
0x10c4447f,FF153017D276,FF157C94C410
0x10c4454c,FF258817D276,FF255494C410
0x10c446c6,FF255C17D276,FF256494C410
0x10c447ce,FF259C15D276,FF259494C410
0x10c4487a,FF257015D276,FF255C94C410
0x10c44940,FF259815D276,FF255894C410
0x10c449b6,E9181FEE67,E918DF7659
0x10c44a35,FF25B819D276,FF25A094C410
0x10c44b73,FF25F813D276,FF257494C410
0x10c44c46,FF252C14D276,FF258894C410
0x10c44d1b,FF25D413D276,FF257894C410
0x10c44dcf,FF25B01AD276,FF254C94C410
0x10c44ef5,E831E47E74,E831A40766
0x10c451e3,E878FF7175,E878AFFB66
0x10c45874,0F8500F56E75,0F8500A5F866
0x10c4595c,0F8471F36E75,0F8471A3F866
0x10c45994,E938F36E75,E938A3F866
0x10c45aea,FF25C413D276,FF258094C410
0x10c45b7d,FF255013D276,FF256894C410
0x10c45bef,FF253014D276,FF258494C410
0x10c45cb4,FF250414D276,FF256094C410
0x10c45d96,FF251014D276,FF255094C410
0x10c45d96,FF251014D276,FF255094C410
0x10c45ddf,FF15B41AD276,FF157094C410
0x10c45f24,FF255C13D276,FF25AC94C410
0x10c4620d,0F84C7627475,0F84C702FF66
0x10c4627c,0F846D627475,0F846D02FF66
0x10c462e5,0F8517627475,0F851702FF66
0x10c46479,E8C2246F75,E8C2C4F966
0x10c464ab,E94E0A7F65,E94EAA0957
0x10c468d1,0F846FDD7475,0F846F7DFF66
0x10c4691b,0F843BDD7475,0F843B7DFF66
0x10c469ad,0F8506DD7475,0F85067DFF66
0x10c469fb,0F85D1DC7475,0F85D17CFF66
0x10c46a2a,0F8463B47075,0F846354FB66
0x10c46b5e,E82A567A75,E82AF60467
0x10c46bea,0F84F2DA7475,0F84F27AFF66
0x10c46c54,0F84B4DA7475,0F84B47AFF66
0x10c46d58,0F846DB17075,0F846D51FB66
0x10c46ea1,0F848CD87475,0F848C78FF66
0x10c46eec,0F8550D87475,0F855078FF66
0x10c46f81,E9F1AE7075,E9F14EFB66
0x10c47340,FF256417D276,FF258C94C410
0x10c4747a,FF253411D276,FF259894C410
0x10c47541,FF253811D276,FF256C94C410
0x10c47676,FF251818D276,FF25A894C410
0x10c47718,FF252014D276,FF259094C410
0x10c478a3,E8B8795B73,E8B809E764
