subroutine,Instruction,Call address,Destination,Resolved name
-,call,0x40b244,0x7639ea80,
-,call,0x40b27b,0x7639eb00,
-,call,0x40b2b1,0x7639ea80,
-,call,0x40b30d,0x6f61497e,
-,call,0x40b36a,0x6f61497e,
-,call,0x40b3cb,0x7639eb00,
-,call,0x40b3f7,0x7639eb00,
-,call,0x40b414,0x7639ea80,
-,call,0x40b425,0x7639eb00,
-,call,0x40b435,0x7639ea80,
-,call,0x40b981,0x6f643b4e,
-,call,0x40be35,0x6f643b4e,
-,call,0x40fcb0,0x10009940,
-,call,0x414871,0x6f64ccc9,
-,call,0x414c67,0x770a00b0,
-,call,0x414ca0,0x7709e8b0,
-,call,0x414fa5,0x770a00b0,
-,call,0x414fc4,0x7709e8b0,
-,call,0x414ff2,0x6e3a1380,
-,call,0x415140,0x6e3a1380,
-,call,0x4151a0,0x6e3a1380,
-,call,0x415230,0x6e3a1380,
-,call,0x4152ee,0x6e3a1380,
-,call,0x41533e,0x6e3a1380,
-,call,0x415413,0x7639e290,
-,call,0x415473,0x7639e290,
-,call,0x415600,0x6e3a1380,
-,call,0x41566e,0x6e3a1380,
-,call,0x4156ee,0x6e3a1380,
-,call,0x415790,0x6e3a1380,
-,call,0x415850,0x6e3a1380,
-,call,0x4158a0,0x6e3a1380,
-,call,0x415b71,0x6f64ccc9,
-,call,0x415b7f,0x6f64ccc9,
-,call,0x415b8a,0x6f64ccc9,
-,call,0x415c11,0x6f64ccc9,
-,call,0x415cae,0x6f64ccc9,
-,call,0x415d5e,0x6f64ccc9,
-,call,0x415d74,0x6f64ccc9,
-,call,0x415d81,0x6f64ccc9,
-,call,0x415d94,0x6f64ccc9,
-,call,0x415da1,0x6f64ccc9,
-,call,0x415dbb,0x6f64ccc9,
-,call,0x415dc8,0x6f64ccc9,
-,call,0x415dd9,0x6f64ccc9,
-,call,0x415de4,0x6f64ccc9,
-,call,0x415e6b,0x6f64ccc9,
-,call,0x416145,0x770a00b0,
-,call,0x416164,0x7709e8b0,
-,call,0x416513,0x73308a4b,
-,call,0x416532,0x73305aeb,
-,call,0x416869,0x770a00b0,
-,call,0x4168ab,0x7709e8b0,
-,call,0x416906,0x6f64ccc9,
-,call,0x416918,0x6f64ccc9,
-,call,0x416923,0x6f64ccc9,
-,call,0x41698e,0x6f64ccc9,
-,call,0x416a5f,0x6f64ccc9,
-,call,0x416c52,0x6f64ccc9,
-,call,0x416c66,0x6f64ccc9,
-,call,0x416e49,0x770a00b0,
-,call,0x416e8b,0x7709e8b0,
-,call,0x416ee6,0x6f64ccc9,
-,call,0x416ef8,0x6f64ccc9,
-,call,0x416f03,0x6f64ccc9,
-,call,0x417241,0x6f612f16,
-,call,0x417cd6,0x6f613369,
-,call,0x417d10,0x6f613369,
-,call,0x417d41,0x6f613369,
-,call,0x417d56,0x6f617141,
-,call,0x417f99,0x770a00b0,
-,call,0x417fdb,0x7709e8b0,
-,call,0x418036,0x6f64ccc9,
-,call,0x418048,0x6f64ccc9,
-,call,0x418053,0x6f64ccc9,
-,call,0x41818c,0x7639ea80,
-,call,0x4181ad,0x7639ea80,
-,call,0x4181cd,0x7639ea80,
-,call,0x4181ed,0x7639ea80,
-,call,0x418349,0x770a00b0,
-,call,0x41838b,0x7709e8b0,
-,call,0x4183fd,0x6f64ccc9,
-,call,0x418448,0x6f64ccc9,
-,call,0x418fa9,0x770a00b0,
