patch_addr,bytes_at_local
0x41ec7f,90E844E05F5D
0x41ec97,90E82CE05F5D
0x41eca4,90E81FE05F5D
0x41ecbb,90E808E05F5D
0x41ecc8,90E8FBDF5F5D
0x41ecdb,90E8E8DF5F5D
0x41ece8,90E8DBDF5F5D
0x41ed0f,90E8B4DF5F5D
0x41ed1c,90E8A7DF5F5D
0x41edaf,90E814DF5F5D
0x41edc7,90E8FCDE5F5D
0x41edd4,90E8EFDE5F5D
0x41edeb,90E8D8DE5F5D
0x41edf8,90E8CBDE5F5D
0x41ee0b,90E8B8DE5F5D
0x41ee18,90E8ABDE5F5D
0x41ee3f,90E884DE5F5D
0x41ee4c,90E877DE5F5D
0x41ef5d,90E866DD5F5D
0x41ef80,90E843DD5F5D
0x41ef8d,90E836DD5F5D
0x41efb4,90E80FDD5F5D
0x41efbf,90E804DD5F5D
0x41f004,90E8BFDC5F5D
0x41f12b,90E898DB5F5D
0x41f13f,90E884DB5F5D
0x41f150,90E873DB5F5D
0x41f353,90E870D95F5D
0x41f370,90E853D95F5D
0x41f37b,90E848D95F5D
0x41f8b1,90E8CA65645D
0x41f9c6,90E8EF64645D
0x41fdd6,90E87ECB655D
0x41febd,90E8F85F645D
0x41ff94,90E8215F645D
0x420e1f,90E86164645D
0x424da3,90E8207F5F5D
0x424ded,90E8D67E5F5D
0x424e64,90E85F7E5F5D
0x424e76,90E84D7E5F5D
0x424e83,90E8407E5F5D
0x424e90,90E8337E5F5D
0x424e9d,90E8267E5F5D
0x424f0c,90E8B77D5F5D
0x424f1a,90E8A97D5F5D
0x424f27,90E89C7D5F5D
0x424f34,90E88F7D5F5D
0x424f41,90E8827D5F5D
0x424fc6,90E8FD7C5F5D
0x424fd8,90E8EB7C5F5D
0x424fe3,90E8E07C5F5D
0x426288,90E8DBD05B5D
0x426b40,90E80306645D
0x426c10,90E83305645D
0x426c78,90E8CB04645D
0x4293d6,90E8ED385F5D
0x4293e8,90E8DB385F5D
0x4293f3,90E8D0385F5D
0x42970d,90E8B6355F5D
0x429728,90E89B355F5D
0x429753,90E870355F5D
0x4297db,90E8E8345F5D
0x4297e8,90E8DB345F5D
0x429c4a,90E879305F5D
0x429cc0,90E803305F5D
0x429f4d,90E863D3635D
0x42abec,90E8C9B2635D
0x42ac19,90E89CB2635D
0x42ac3d,90E878B2635D
0x42ac4a,90E80074B65B
0x42aeee,90E8C2C3635D
0x42af00,90E8B0C3635D
0x42af12,90E89EC3635D
0x42af27,90E889C3635D
0x42af3c,90E874C3635D
0x42afe2,90E861C1635D
0x42b057,90E824AE635D
0x42b068,90E813AE635D
0x42b076,90E805AE635D
0x42b084,90E8F7AD635D
0x42b092,90E8E9AD635D
0x42b0e0,90E8D5AD635D
0x42b0ee,90E8C7AD635D
0x42b0fc,90E8B9AD635D
0x42b10a,90E8ABAD635D
0x42b11a,90E89BAD635D
0x42b18f,90E821C1635D
0x42bc59,90E857B6635D
0x42cf16,90E84D645B5D
0x42cf87,90E8DC635B5D
0x42de08,90E84B82645D
0x42de40,90E8C9AC645D
0x42e0c3,90E8AC7F645D
0x42e386,90E8E74A5B5D
0x42e666,90E85DE65E5D
0x42e678,90E84BE65E5D
0x42e683,90E840E65E5D
0x42edb9,90E8A86D645D
0x42efb4,90E8FC82635D
0x42f42d,90E896D85E5D
0x42f44a,90E879D85E5D
0x42f457,90E86CD85E5D
0x42f4d9,90E8EAD75E5D
0x42f4e6,90E8DDD75E5D
0x42f56b,90E858D75E5D
0x42f578,90E84BD75E5D
0x4309e2,90E881295B5D
0x43133c,90E827205B5D
0x4313fa,90E8C9B85E5D
0x4315f1,90E8721D5B5D
0x431a60,90E863B25E5D
0x431a70,90E853B25E5D
0x431a7f,90E844B25E5D
0x431b20,90E8A3B15E5D
0x431b30,90E893B15E5D
0x431b3f,90E884B15E5D
0x431d62,90E861AF5E5D
0x431df1,90E8D2AE5E5D
0x431ebb,90E808AE5E5D
0x431fc7,90E8FCAC5E5D
0x432621,90E8A2A65E5D
0x432639,90E88AA65E5D
0x432646,90E87DA65E5D
0x432b46,90E87DA15E5D
0x432b53,90E870A15E5D
0x432eb9,90E80A9E5E5D
0x432ee0,90E8E39D5E5D
0x432ef4,90E8CF9D5E5D
0x432f77,90E84C9D5E5D
0x432f84,90E83F9D5E5D
0x43300e,90E8B59C5E5D
0x43301b,90E8A89C5E5D
0x433180,90E8439B5E5D
0x43318d,90E8369B5E5D
0x4331f1,90E8D29A5E5D
0x43320d,90E83858645D
0x433257,90E8182E645D
0x433290,90E9DF2D645D
0x43330f,90E8B4995E5D
0x433335,90E88E995E5D
0x4333cd,90E8F6985E5D
0x4333ed,90E85856645D
0x433439,90E8362C645D
0x433447,90E87C985E5D
0x433454,90E86F985E5D
0x4334c2,90E801985E5D
0x433638,90E82BFD5A5D
0x434385,90E82B2F635D
0x434841,90E83A16635D
0x43485b,90E8552A635D
0x43486d,90E86B2A635D
0x434a13,90E8A214635D
0x435e6f,90E8546E5E5D
0x435e81,90E8426E5E5D
0x435e8c,90E8376E5E5D
0x436151,90E85F11635D
0x4374c8,90E8FB575E5D
0x437560,90E863575E5D
0x43758b,90E838575E5D
0x43759b,90E828575E5D
0x4375c6,90E8FD565E5D
0x4375d6,90E8ED565E5D
0x43827f,90E8444A5E5D
0x43837e,90E845495E5D
0x438417,90E8AC485E5D
0x4384a6,90E81D485E5D
0x438676,90E84D465E5D
0x43870e,90E8B5455E5D
0x43879d,90E826455E5D
0x4387c0,90E803455E5D
0x438876,90E84D445E5D
0x438d1c,90E8A73F5E5D
0x438d3a,90E8893F5E5D
0x438daf,90E8143F5E5D
0x438dc3,90E8003F5E5D
0x438e13,90E8B03E5E5D
0x438e40,90E8833E5E5D
0x439960,90E850D9625D
0x43c660,90E863065E5D
0x440908,90E81C695A5D
0x440da6,90E8C7205A5D
0x440e7c,90E8F11F5A5D
0x441afd,90E8C6B15D5D
0x441b1f,90E8A4B15D5D
0x441b81,90E842B15D5D
0x441ba4,90E81FB15D5D
0x441bb1,90E812B15D5D
0x441de0,90E8E3AE5D5D
0x441ded,90E8D6AE5D5D
0x441eca,90E8F9AD5D5D
0x441eea,90E8D9AD5D5D
0x441f2d,90E896AD5D5D
0x441f46,90E87DAD5D5D
0x441f53,90E870AD5D5D
0x441f8c,90E837AD5D5D
0x441f99,90E82AAD5D5D
0x4423e3,90E8E0A85D5D
0x442401,90E8C2A85D5D
0x442468,90E85BA85D5D
0x442475,90E84EA85D5D
0x442496,90E82DA85D5D
0x4424ac,90E817A85D5D
0x4424bc,90E807A85D5D
0x442806,90E85D0B5A5D
0x442a00,90E863095A5D
0x442a28,90E83B095A5D
0x442a48,90E81B095A5D
0x443ec6,90E8FD8D5D5D
0x443ed8,90E8EB8D5D5D
0x443ee3,90E8E08D5D5D
0x44432d,90E896895D5D
0x44433b,90E888895D5D
0x444348,90E87B895D5D
0x444372,90E851895D5D
0x44437d,90E846895D5D
0x44452b,90E898875D5D
0x444681,90E82F2C625D
0x44976c,90E8D9F2625D
0x4497cd,90E83CF3625D
0x449b58,90E817C5625D
0x44abb6,90E80D215D5D
0x44abd4,90E8EF205D5D
0x44acd1,90E8F21F5D5D
0x44e246,90E87DEA5C5D
0x44e80e,90E8B5E45C5D
0x44ed01,90E86246595D
0x44ed76,90E8445C5D5D
0x44edad,90E8B645595D
0x44ee81,90E842DE5C5D
0x44eed2,90E8F1DD5C5D
0x44ef43,90E880DD5C5D
0x44ef91,90E832DD5C5D
0x44efd4,90E8EFDC5C5D
0x44efe8,90E8DBDC5C5D
0x44f019,90E8AADC5C5D
0x44f031,90E892DC5C5D
0x44f17b,90E848DB5C5D
0x44f1bc,90E807DB5C5D
0x44f20c,90E85741595D
0x44f55d,90E866D75C5D
0x44f5a5,90E81ED75C5D
0x44f696,90E82DD65C5D
0x44f6a8,90E81BD65C5D
0x44f6b3,90E810D65C5D
0x44fd2f,90E88175615D
0x45201a,90E8A9AC5C5D
0x452032,90E891AC5C5D
0x45203d,90E886AC5C5D
0x452bde,90E8E5A05C5D
0x452bf9,90E8CAA05C5D
0x452c06,90E8BDA05C5D
0x452c9e,90E825A05C5D
0x452cab,90E818A05C5D
0x4531f1,90E87201595D
0x453263,90E80001595D
0x454680,90E843865C5D
0x454694,90E82F865C5D
0x45550a,90E8B9775C5D
0x45551e,90E8A5775C5D
0x45552b,90E898775C5D
0x4556e9,90E8DA755C5D
0x4556fa,90E8C9755C5D
0x4577f7,90E839265B5D
0x457ab0,90E800F8605D
0x4582fa,90E869B0585D
0x4584c4,90E89FAE585D
0x4585e8,90E87BAD585D
0x458606,90E85DAD585D
0x458b0d,90E8B6415C5D
0x458d4d,90E8763F5C5D
0x458d65,90E85E3F5C5D
0x458d72,90E8513F5C5D
0x458de1,90E8E23E5C5D
0x458dee,90E8D53E5C5D
0x459294,90E82F3A5C5D
0x459a3f,90E82CB0615D
0x459a4c,90E877B0615D
0x459b6f,90E8FCAE615D
0x459b7c,90E847AF615D
0x459c4e,90E81DAE615D
0x459c5b,90E868AE615D
0x459db7,90E88EEC615D
0x459ddf,90E890C2615D
0x459e21,90E824EC615D
0x459e43,90E802EC615D
0x459f3f,90E871D3605D
0x45aab6,90E80D225C5D
0x45aac8,90E8FB215C5D
0x45aad3,90E8F0215C5D
0x45abeb,90E8D8205C5D
0x45ac32,90E891205C5D
0x45acd2,90E8DEC5605D
0x45b912,90E8A8905C5D
0x45c096,90E8CD72585D
0x45cf40,90E883FD5B5D
0x45cf55,90E86EFD5B5D
0x45cf60,90E863FD5B5D
0x45d3a8,90E8BB5F585D
0x45d92d,90E896F35B5D
0x45d940,90E883F35B5D
0x45d952,90E871F35B5D
0x45da15,90E8AEF25B5D
0x45da2a,90E899F25B5D
0x45da35,90E88EF25B5D
0x45f60e,90E8B5D65B5D
0x45f623,90E8A0D65B5D
0x45f62e,90E895D65B5D
0x4606dc,90E8E7C55B5D
0x461810,90E8C485585D
0x46188c,90E8D71A585D
0x461ee3,90E8CD53605D
0x464fec,90E8BA54585D
0x466847,90E87C645B5D
0x46685b,90E868645B5D
0x4684cf,90E8F4475B5D
0x468aa4,90E81F425B5D
0x46966d,90E856365B5D
0x469f20,90E8A32D5B5D
0x46aa1a,90E8A9225B5D
0x46aa34,90E88F225B5D
0x46aaaa,90E819225B5D
0x46aac4,90E8FF215B5D
0x46ab38,90E88B215B5D
0x46ab52,90E871215B5D
0x46abd3,90E8F0205B5D
0x46ac71,90E852205B5D
0x46ae6d,90E8561E5B5D
0x46ae9c,90E8271E5B5D
0x46afaf,90E8141D5B5D
0x46b4d1,90E8F2175B5D
0x46b51e,90E8A5175B5D
0x46b52e,90E895175B5D
0x46b55f,90E864175B5D
0x46b5b4,90E80F175B5D
0x46dabf,90E804F25A5D
0x46dad1,90E8F2F15A5D
0x46dadc,90E8E7F15A5D
0x46dbd6,90E8EDF05A5D
0x46dbe8,90E8DBF05A5D
0x46dbf3,90E8D0F05A5D
0x46dcff,90E8C4EF5A5D
0x46dd11,90E8B2EF5A5D
0x46dd1c,90E8A7EF5A5D
0x46de1f,90E8A4EE5A5D
0x46de31,90E892EE5A5D
0x46de3c,90E887EE5A5D
0x46e020,90E823915F5D
0x46e1b4,90E8017D5F5D
0x472982,90E8C1475F5D
0x47298c,90E829355F5D
0x4729b4,90E88F475F5D
0x4729d3,90E870475F5D
0x472a16,90E82D475F5D
0x472a20,90E895345F5D
0x472a45,90E8FE465F5D
0x472a64,90E8DF465F5D
0x472a84,90E8BF465F5D
0x472a8e,90E827345F5D
0x472aac,90E897465F5D
0x472acb,90E878465F5D
0x472ae6,90E85D465F5D
0x472af0,90E8C5335F5D
0x472b0d,90E836465F5D
0x472b2c,90E817465F5D
0x473de1,90E862335F5D
0x473deb,90E8CA205F5D
0x473e21,90E822335F5D
0x473e2b,90E88A205F5D
0x473e46,90E8FD325F5D
0x473e65,90E8DE325F5D
0x473ecc,90E877325F5D
0x473eeb,90E858325F5D
0x474712,90E86E2B5F5D
0x474754,90E82C2B5F5D
0x4774a7,90E81C585A5D
0x4774b4,90E80F585A5D
0x4774d6,90E8ED575A5D
0x4774e3,90E8E0575A5D
0x477752,90E871555A5D
0x4777c5,90E8FE545A5D
0x4777d5,90E8EE545A5D
0x4777fc,90E8C7545A5D
0x477830,90E893545A5D
0x478a8a,90E8B9E65E5D
0x478a97,90E81ED45E5D
0x478abe,90E885E65E5D
0x478ad9,90E86AE65E5D
0x478afa,90E849E65E5D
0x478b07,90E8AED35E5D
0x478b22,90E821E65E5D
0x478b41,90E802E65E5D
0x478b5f,90E8E4E55E5D
0x478b6c,90E849D35E5D
0x478fef,90E854E15E5D
0x47900e,90E835E15E5D
0x479250,90E8F3DE5E5D
0x479aee,90E855D65E5D
0x479bbc,90E887D55E5D
0x479c54,90E8EFD45E5D
0x479d21,90E822D45E5D
0x479d65,90E8DED35E5D
0x479dba,90E889D35E5D
0x47bb68,90E8DBB55E5D
0x47bb72,90E843A35E5D
0x47bebd,90E886B25E5D
0x47bedc,90E867B25E5D
0x47c421,90E84C6A565D
0x47c439,90E80AAD5E5D
0x47c446,90E86F9A5E5D
0x47c54d,90E8F6AB5E5D
0x47c56f,90E8D4AB5E5D
0x47f3b8,90E8B76C5F5D
0x47f3d2,90E89D6C5F5D
0x47f4ef,90E8C17D5E5D
0x47f5c7,90E87C7B5E5D
0x47f5dd,90E8D8685E5D
0x47fcbf,90E8F1755E5D
0x480117,90E899715E5D
0x480881,90E88F26565D
0x48088c,90E82F18565D
0x480d3d,90E82A425A5D
0x4816b9,90E88A5A5E5D
0x4816c3,90E8F2475E5D
0x481724,90E81F5A5E5D
0x481740,90E8035A5E5D
0x481820,90E823595E5D
0x48182a,90E88B465E5D
0x481854,90E8EF585E5D
0x481870,90E8D3585E5D
0x481acc,90E8E4575E5D
0x481c05,90E8AB565E5D
0x481d7c,90E834555E5D
0x481eb2,90E8FE535E5D
0x4822bc,90E8F44F5E5D
0x48237d,90E8334F5E5D
0x4825db,90E8D54C5E5D
0x4826bb,90E8F54B5E5D
0x48276a,90E8D9495E5D
0x482774,90E841375E5D
0x48278f,90E8B4495E5D
0x4827ab,90E898495E5D
0x48285d,90E8534A5E5D
0x482bf4,90E8BC465E5D
0x482cec,90E8C4455E5D
0x486b65,90E8FEC7555D
0x4886e2,90E861EA5D5D
0x4886ec,90E8C9D75D5D
0x488707,90E83CEA5D5D
0x488726,90E81DEA5D5D
0x488c82,90E82EE65D5D
0x489c1e,90E84FD9555D
0x48a47f,90E831CE5D5D
0x48b7ad,90E81615595D
0x48bca7,90E81C10595D
0x48bcdd,90E8E60F595D
0x48c1f7,90E8CC0A595D
0x48c262,90E8610A595D
0x48c2cc,90E8F709595D
0x48c337,90E88C09595D
0x48c625,90E89E06595D
