subroutine,Instruction,Call address,Destination,Section
,jne-near,0x21501d3,0x77c364da,215
,jne-near,0x2150239,0x77c364ef,215
,je-near,0x2150281,0x77c36502,215
,call-near,0x215036e,0x77be2940,215
,je-near,0x21404c5,0x77bcfd7a,214
,jne-near,0x21405c2,0x77bcfcd3,214
,jmp-near,0x21405fe,0x77bcfcd1,214
,jne-near,0x2150696,0x77c3e646,215
,jne-near,0x215071e,0x77c3e65c,215
,je-near,0x21507a2,0x77c3e6b9,215
,je-near,0x215083c,0x77c3e6d2,215
,jne-near,0x215089e,0x77bfbe93,215
,call-near,0x21509e8,0x77c9618d,215
,jne-near,0x2150a86,0x77c3e6e2,215
,jne-near,0x2150b5c,0x77c3e70e,215
,jne-near,0x2150c78,0x77bfbecb,215
,jne-near,0x2150d49,0x77c3e733,215
,call-near,0x2130d92,0x76cbf32b,213
,je-near,0x2150daa,0x77c3e742,215
,jmp-near,0x2150e46,0x77bfbe77,215
