Module,Address,Function
msvcr90.dll,67418583,_dosmaperr
msvcr90.dll,674185AB,_set_errno
msvcr90.dll,674185D1,_get_errno
msvcr90.dll,67418605,_set_doserrno
msvcr90.dll,6741862B,_get_doserrno
msvcr90.dll,6741865F,_getdrive
msvcr90.dll,6741872D,_chdrive
msvcr90.dll,674187D4,_fullpath
msvcr90.dll,67418921,_getdcwd_nolock
msvcr90.dll,67418A5D,_getcwd
msvcr90.dll,67418AAB,_getdcwd
msvcr90.dll,67418AFA,_getpid
msvcr90.dll,67418B05,_mkdir
msvcr90.dll,67418B3C,rename
msvcr90.dll,67418B74,_rmdir
msvcr90.dll,67418C6B,_stat32
msvcr90.dll,674190E7,_stat64
msvcr90.dll,674195C1,_stat64i32
msvcr90.dll,67419A05,_stat32i64
msvcr90.dll,67419E33,remove
msvcr90.dll,67419E68,_unlink
msvcr90.dll,67419E78,_waccess_s
msvcr90.dll,67419F06,_waccess
msvcr90.dll,67419F23,_wchdir
msvcr90.dll,6741A060,_wchmod
msvcr90.dll,6741A0D4,_wfullpath
msvcr90.dll,6741A1E7,_wgetdcwd_nolock
msvcr90.dll,6741A338,_wgetcwd
msvcr90.dll,6741A386,_wgetdcwd
msvcr90.dll,6741A3D5,_wmkdir
msvcr90.dll,6741A40C,_wrename
msvcr90.dll,6741A444,_wrmdir
msvcr90.dll,6741A541,_wstat32
msvcr90.dll,6741A9C4,_wstat64
msvcr90.dll,6741AE26,_wstat64i32
msvcr90.dll,6741B317,_wstat32i64
msvcr90.dll,6741B74C,_wremove
msvcr90.dll,6741B781,_wunlink
msvcr90.dll,6741BD83,_execl
msvcr90.dll,6741BDD4,_execle
msvcr90.dll,6741BE32,_execlp
msvcr90.dll,6741BE81,_execlpe
msvcr90.dll,6741BEDF,_execv
msvcr90.dll,6741BFB1,_execve
msvcr90.dll,6741C1D1,_execvp
msvcr90.dll,6741C1ED,_execvpe
msvcr90.dll,6741C475,_getdllprocaddr
msvcr90.dll,6741C4AB,_loaddll
msvcr90.dll,6741C4C0,_unloaddll
msvcr90.dll,6741C4E2,_spawnl
msvcr90.dll,6741C536,_spawnle
msvcr90.dll,6741C597,_spawnlp
msvcr90.dll,6741C5EA,_spawnlpe
msvcr90.dll,6741C64B,_spawnv
msvcr90.dll,6741C721,_spawnve
msvcr90.dll,6741C947,_spawnvp
