patch_addr,mem_old,patch
0x4e8e91,E88DC5C069,E8BA7EA700
0x4e8f51,E8CDC4C069,E8FA7DA700
0x4e9011,E80DC4C069,E83A7DA700
0x4e929d,E881C1C069,E8AE7AA700
0x4e932a,E8F4C0C069,E8217AA700
0x4e93a4,E87AC0C069,E8A779A700
0x4e941e,E800C0C069,E82D79A700
0x4e9498,E886BFC069,E8B378A700
0x4e9512,E80CBFC069,E83978A700
0x686bb5,E869E8A669,E896A18D00
0x6e804b,E8D3D3A069,E8008D8700
0x6e8131,E8EDD2A069,E81A8C8700
0x6e81c4,E85AD2A069,E8878B8700
0x6e8282,E89CD1A069,E8C98A8700
0x6e8363,E8BBD0A069,E8E8898700
0x6e83c7,E857D0A069,E884898700
0x6e83eb,E833D0A069,E860898700
0x71318b,E893229E69,E8C0DB8400
0x713475,E8A91F9E69,E8D6D88400
0x79590c,E812FB9569,E83FB47C00
0x79592b,E8F3FA9569,E820B47C00
0x795a05,E819FA9569,E846B37C00
0x80bf5f,E8BF948E69,E8EC4D7500
0x80bf75,E8A9948E69,E8D64D7500
0x86d49e,E8807F8869,E8AD386F00
0x86d506,E8187F8869,E845386F00
0x86d72b,E8F37C8869,E820366F00
0x93e1cc,E852727B69,E87F2B6200
0x93e2a6,E878717B69,E8A52A6200
0x93e2c5,E859717B69,E8862A6200
0x93e379,E8A5707B69,E8D2296200
0x93e5a5,E8796E7B69,E8A6276200
0x93e63d,E8E16D7B69,E80E276200
0x93e65c,E8C26D7B69,E8EF266200
0x93e702,E81C6D7B69,E849266200
0x94f8ae,E8705B7A69,E89D146100
0x94fa76,E8A8597A69,E8D5126100
0x96de88,E896757869,E8C32E5F00
0x96debf,E85F757869,E88C2E5F00
0xa00e2d,E8F1456F69,E81EFF5500
0xa0102d,E8F1436F69,E81EFD5500
0xa02491,E88D2F6F69,E8BAE85500
0xa024e5,E8392F6F69,E866E85500
0xa0263a,E8E42D6F69,E811E75500
0x510b2c,E83749BE69,E8EF01A500
0xa0247b,E865336F69,E884E95500
0xa0255a,E886326F69,E8A5E85500
0xa02582,E85E326F69,E87DE85500
0xa025aa,E836326F69,E855E85500
0xa025d2,E80E326F69,E82DE85500
0xa025fa,E8E6316F69,E805E85500
0xa0261f,E8C1316F69,E8E0E75500
0x86d4c5,E839858869,E8E0386F00
0x93e1bb,E843787B69,E8EA2B6200
0x93e397,E867767B69,E80E2A6200
0x93e594,E86A747B69,E811286200
0x93e720,E8DE727B69,E885266200
0x94f954,E8AA607A69,E851146100
0x94fc0a,E8F45D7A69,E89B116100
0x94fc3b,E8C35D7A69,E86A116100
0x627f2f,E845DBAC69,E8528E9300
0x628089,E8EBD9AC69,E8F88C9300
0x78f434,E840669669,E84D197D00
0x78f460,E814669669,E821197D00
0x78f644,E830649669,E83D177D00
0x78f670,E804649669,E811177D00
0x80becf,E8A59B8E69,E8B24E7500
0x80bf01,E8739B8E69,E8804E7500
0x80dad5,E89F7F8E69,E8AC327500
0x80daf7,E87D7F8E69,E88A327500
0xa02cfc,E8782D6F69,E885E05500
0xa02d2c,E8482D6F69,E855E05500
0x627f1b,E8ABDBAC69,E8608E9300
0x628075,E851DAAC69,E8068D9300
0x78f448,E87E669669,E833197D00
0x78f658,E86E649669,E823177D00
0x80bee6,E8E09B8E69,E8954E7500
0x80dae6,E8E07F8E69,E895327500
0xa02d10,E8B62D6F69,E86BE05500
0x9fc5af,E866966F69,E81A485600
0x9fc5d4,E841966F69,E8F5475600
0x4e31ef,E87E2AC169,E856DBA700
0x41d4f0,E88C89CD69,E8AD37B400
0x41f8b2,E8CA65CD69,E8EB13B400
0x42b058,E824AECC69,E8455CB300
0x42b069,E813AECC69,E8345CB300
0x42b077,E805AECC69,E8265CB300
0x42b085,E8F7ADCC69,E8185CB300
0x42b093,E8E9ADCC69,E80A5CB300
0x434842,E83A16CC69,E85BC4B200
0x498727,E855D7C569,E87685AC00
0x49873a,E842D7C569,E86385AC00
0x4e314c,E8302DC169,E851DBA700
0x4e5ca4,E8D801C169,E8F9AFA700
0x4ea1f5,E887BCC069,E8A86AA700
0x503059,E8232EBF69,E844DCA500
0x50306a,E8122EBF69,E833DCA500
0x503078,E8042EBF69,E825DCA500
0x503086,E8F62DBF69,E817DCA500
0x5708ac,E8D055B869,E8F1039F00
0x597a11,E86BE4B569,E88C929C00
0x61d6ab,E8D187AD69,E8F2359400
0x61d6be,E8BE87AD69,E8DF359400
0x61d6ce,E8AE87AD69,E8CF359400
0x61d6de,E89E87AD69,E8BF359400
0x61d6fd,E87F87AD69,E8A0359400
0x61d70e,E86E87AD69,E88F359400
0x62db24,E85883AC69,E879319300
0x640781,E8FB56AB69,E81C059200
0x641f94,E8E83EAB69,E809ED9100
0x6490ff,E87DCDAA69,E89E7B9100
0x649768,E814C7AA69,E835759100
0x671661,E81B48A869,E83CF68E00
0x671672,E80A48A869,E82BF68E00
0x671682,E8FA47A869,E81BF68E00
0x671692,E8EA47A869,E80BF68E00
0x6716a2,E8DA47A869,E8FBF58E00
0x6716b2,E8CA47A869,E8EBF58E00
0x6716c2,E8BA47A869,E8DBF58E00
0x6716d2,E8AA47A869,E8CBF58E00
0x6716e2,E89A47A869,E8BBF58E00
0x671800,E87C46A869,E89DF48E00
0x6794a4,E8D8C9A769,E8F9778E00
0x6867d1,E8ABF6A669,E8CCA48D00
0x6867e2,E89AF6A669,E8BBA48D00
0x6867f0,E88CF6A669,E8ADA48D00
0x6867fe,E87EF6A669,E89FA48D00
0x68680c,E870F6A669,E891A48D00
0x68681d,E85FF6A669,E880A48D00
0x6a6358,E824FBA469,E845A98B00
0x6a6369,E813FBA469,E834A98B00
0x6ac49a,E8E299A469,E803488B00
0x6b5d58,E82401A469,E845AF8A00
0x6bb019,E863AEA369,E8845C8A00
0x6bc133,E8499DA369,E86A4B8A00
0x6c8f15,E867CFA269,E8887D8900
0x6c9f52,E82ABFA269,E84B6D8900
0x6c9f64,E818BFA269,E8396D8900
0x6c9f73,E809BFA269,E82A6D8900
0x6cbda1,E8DBA0A269,E8FC4E8900
0x6cbdb3,E8C9A0A269,E8EA4E8900
0x6d3785,E8F726A269,E818D58800
0x6d3795,E8E726A269,E808D58800
0x6d37a5,E8D726A269,E8F8D48800
0x6d37e5,E89726A269,E8B8D48800
0x6d9586,E8F6C8A169,E817778800
0x6d98f6,E886C5A169,E8A7738800
0x6db27f,E8FDABA169,E81E5A8800
0x6db3e3,E899AAA169,E8BA588800
0x6dba73,E809A4A169,E82A528800
0x6dbd3f,E83DA1A169,E85E4F8800
0x6dc123,E8599DA169,E87A4B8800
0x6df995,E8E764A169,E808138800
0x6e434b,E8311BA169,E852C98700
0x6e7db6,E8C6E0A069,E8E78E8700
0x6f785e,E81EE69F69,E83F948600
0x6fa064,E818BE9F69,E8396C8600
0x6feb58,E824739F69,E845218600
0x7135b9,E8C3289E69,E8E4D68400
0x713839,E843269E69,E864D48400
0x713c1d,E85F229E69,E880D08400
0x714159,E8231D9E69,E844CB8400
0x7143c9,E8B31A9E69,E8D4C88400
0x71627e,E8FEFB9D69,E81FAA8400
0x758e29,E853D09969,E8747E8000
0x758edd,E89FCF9969,E8C07D8000
0x758fbc,E8C0CE9969,E8E17C8000
0x7590d6,E8A6CD9969,E8C77B8000
0x759165,E817CD9969,E8387B8000
0x759239,E843CC9969,E8647A8000
0x75943b,E841CA9969,E862788000
0x759449,E833CA9969,E854788000
0x75cb07,E875939969,E896418000
0x75d7f2,E88A869969,E8AB348000
0x75da15,E867849969,E888328000
0x75dbea,E892829969,E8B3308000
0x769330,E84CCB9869,E86D797F00
0x769746,E836C79869,E857757F00
0x769aa8,E8D4C39869,E8F5717F00
0x769e4b,E831C09869,E8526E7F00
0x76a199,E8E3BC9869,E8046B7F00
0x77c1b5,E8C79C9769,E8E84A7E00
0x77dd1a,E862819769,E8832F7E00
0x77ddaa,E8D2809769,E8F32E7E00
0x790271,E80B5C9669,E82C0A7D00
0x795899,E8E3059669,E804B47C00
0x7d5052,E82A0E9269,E84BBC7800
0x7d65e5,E897F89169,E8B8A67800
0x7ee6d8,E8A4779069,E8C5257700
0x8076fa,E882E78E69,E8A3957500
0x80770b,E871E78E69,E892957500
0x80771b,E861E78E69,E882957500
0x80772b,E851E78E69,E872957500
0x80773b,E841E78E69,E862957500
0x80774b,E831E78E69,E852957500
0x80775b,E821E78E69,E842957500
0x80776b,E811E78E69,E832957500
0x80777b,E801E78E69,E822957500
0x80d4d6,E8A6898E69,E8C7377500
0x80d5a6,E8D6888E69,E8F7367500
0x810e1a,E862508E69,E883FE7400
0x810e2b,E851508E69,E872FE7400
0x812eea,E8922F8E69,E8B3DD7400
0x812fb1,E8CB2E8E69,E8ECDC7400
0x812fc2,E8BA2E8E69,E8DBDC7400
0x84a7e7,E895B68A69,E8B6647100
0x84a937,E845B58A69,E866637100
0x84aa8e,E8EEB38A69,E80F627100
0x84abe5,E897B28A69,E8B8607100
0x84ad02,E87AB18A69,E89B5F7100
0x866a43,E839F48869,E85AA26F00
0x874c96,E8E6118869,E807C06E00
0x87f5fc,E880688769,E8A1166E00
0x87f60a,E872688769,E893166E00
0x880e54,E828508769,E849FE6D00
0x880e65,E817508769,E838FE6D00
0x884fdc,E8A00E8769,E8C1BC6D00
0x884fee,E88E0E8769,E8AFBC6D00
0x885167,E8150D8769,E836BB6D00
0x885ae7,E895038769,E8B6B16D00
0x885af6,E886038769,E8A7B16D00
0x896d50,E82CF18569,E84D9F6C00
0x896d65,E817F18569,E8389F6C00
0x89a96f,E80DB58569,E82E636C00
0x89ab9f,E8DDB28569,E8FE606C00
0x89adcf,E8ADB08569,E8CE5E6C00
0x89afff,E87DAE8569,E89E5C6C00
0x89b22f,E84DAC8569,E86E5A6C00
0x8a45bb,E8C1188569,E8E2C66B00
0x8a474a,E832178569,E853C56B00
0x8af922,E85A658469,E87B136B00
0x8b6904,E878F58369,E899A36A00
0x8b8385,E8F7DA8369,E818896A00
0x8c007f,E8FD5D8369,E81E0C6A00
0x8c01d1,E8AB5C8369,E8CC0A6A00
0x8c032c,E8505B8369,E871096A00
0x8c06ac,E8D0578369,E8F1056A00
0x8c0800,E87C568369,E89D046A00
0x8c47ff,E87D168369,E89EC46900
0x8d0af3,E889538269,E8AA016900
0x8d2b8b,E8F1328269,E812E16800
0x8d6913,E869F58169,E88AA36800
0x8d714c,E830ED8169,E8519B6800
0x8e3c76,E806228169,E827D06700
0x8eda20,E85C848069,E87D326700
0x8f1374,E8084B8069,E829F96600
0x8f158d,E8EF488069,E810F76600
0x8f159b,E8E1488069,E802F76600
0x8f16e9,E893478069,E8B4F56600
0x8f16fa,E882478069,E8A3F56600
0x8f427c,E8001C8069,E821CA6600
0x8f4c51,E82B128069,E84CC06600
0x92b575,E807A97C69,E828576300
0x92b7af,E8CDA67C69,E8EE546300
0x934170,E80C1D7C69,E82DCB6200
0x934181,E8FB1C7C69,E81CCB6200
0x934192,E8EA1C7C69,E80BCB6200
0x9367ac,E8D0F67B69,E8F1A46200
0x9367c0,E8BCF67B69,E8DDA46200
0x9367d1,E8ABF67B69,E8CCA46200
0x9367e2,E89AF67B69,E8BBA46200
0x9367f3,E889F67B69,E8AAA46200
0x94e995,E8E7747A69,E808236100
0x94ffd0,E8AC5E7A69,E8CD0C6100
0x952d8a,E8F2307A69,E813DF6000
0x952e4c,E830307A69,E851DE6000
0x952e5d,E81F307A69,E840DE6000
0x953b34,E848237A69,E869D16000
0x96af60,E81CAF7869,E83D5D5F00
0x98b73c,E840A77669,E861555D00
0x98b750,E82CA77669,E84D555D00
0x98b761,E81BA77669,E83C555D00
0x9d805d,E81FDE7169,E8408C5800
0x9fa46c,E810BA6F69,E831685600
0x9fb340,E83CAB6F69,E85D595600
0x9fbd5d,E81FA16F69,E8404F5600
0xa007c8,E8B4566F69,E8D5045600
0xa01d1c,E860416F69,E881EF5500
0xa02061,E81B3E6F69,E83CEC5500
0xa038da,E8A2256F69,E8C3D35500
0x1569406,E876CAB868,E897789FFF
0x40447d,E8391ACF69,E8F6C7B500
0x40449d,E8191ACF69,E8D6C7B500
0x4045ed,E8C918CF69,E886C6B500
0x40461d,E89918CF69,E856C6B500
0x4064b4,E802FACE69,E8BFA7B500
0x40652e,E888F9CE69,E845A7B500
0x406597,E81FF9CE69,E8DCA6B500
0x41d57b,E83B89CD69,E8F836B400
0x41e8af,E80776CD69,E8C423B400
0x41e952,E86475CD69,E82123B400
0x41f9c7,E8EF64CD69,E8AC12B400
0x41febe,E8F85FCD69,E8B50DB400
0x41ff95,E8215FCD69,E8DE0CB400
0x42abed,E8C9B2CC69,E88660B300
0x42ac1a,E89CB2CC69,E85960B300
0x42ac3e,E878B2CC69,E83560B300
0x42b0e1,E8D5ADCC69,E8925BB300
0x42b0ef,E8C7ADCC69,E8845BB300
0x42b0fd,E8B9ADCC69,E8765BB300
0x42b10b,E8ABADCC69,E8685BB300
0x42b11b,E89BADCC69,E8585BB300
0x434a14,E8A214CC69,E85FC2B200
0x46e1b5,E8017DC869,E8BE2AAF00
0x47298d,E82935C869,E8E6E2AE00
0x472a21,E89534C869,E852E2AE00
0x472a8f,E82734C869,E8E4E1AE00
0x472af1,E8C533C869,E882E1AE00
0x473dec,E8CA20C869,E887CEAE00
0x473e2c,E88A20C869,E847CEAE00
0x478a98,E81ED4C769,E8DB81AE00
0x478b08,E8AED3C769,E86B81AE00
0x478b6d,E849D3C769,E80681AE00
0x47bb73,E843A3C769,E80051AE00
0x47c447,E86F9AC769,E82C48AE00
0x47f5de,E8D868C769,E89516AE00
0x4816c4,E8F247C769,E8AFF5AD00
0x48182b,E88B46C769,E848F4AD00
0x482775,E84137C769,E8FEE4AD00
0x4886ed,E8C9D7C669,E88685AD00
0x48df50,E8667FC669,E8232DAD00
0x48e1f5,E8C17CC669,E87E2AAD00
0x48e205,E8B17CC669,E86E2AAD00
